"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Koennen.Sie.sich.vorstellen..einen.Dr..zu.machen.","Muessen.Sie.nebenbei.arbeiten..um.Ihr.Studium.zu.finanzieren.","Wie.viele.Stunden.pro.Woche.treiben.Sie.Sport.","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.werden.Sie.bei.der.naechsten.Bundestagswahl.voraussichtlich.waehlen.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Ihre.Handy.Bildschirmzeit.am.Tag...in.Stunden.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft.","Soll.der.Dozent.in.der.Vorlesung.gendern."
"11","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",34,159,0,3,7,NA,2,"1,9","4",3,17,"nein","nein",4,"ja","FDP","Hauptschul- oder Realschulabschluss",4000,"ja","5","gelegentlich (einige Male pro Monat)","nein","nein","bitte nicht"
"12","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",43,180,0,4,8,6,3,"3,1","10",8,20,"keine Ahnung","ja",2,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss",50000,"ja","7","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","bitte nicht"
"13","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,177,100,8,10,6,3,"3,1","10",16,60,"nein","nein",11,"nein","darf nicht waehlen","Diplom (abgeschlossenes Studium)",4000,"ja","8","nein, nie","nein","nein","bitte nicht"
"14","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,183,13,5,9,7,3,"3,3","0",25,55,"keine Ahnung","ja",7,"ja","AfD","Dr.",3500,"ja","5","selten (einige Male pro Jahr)","nein","nein","bitte nicht"
"15","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,187,27,7,9,3,3,"2,7","9",1.5,20,"nein","ja",13,"nein","FDP","Diplom (abgeschlossenes Studium)",3000,"nein","5","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"16","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,166,0,7,9,8,6,"2,1","14",5,15,"ja","kann Frage nicht sinnvoll beantworten",2,"ja","eine andere Partei","Abitur",0,"nein","3","selten (einige Male pro Jahr)","nein","nein","mir egal"
"17","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,180,26,6,8,4,1,"2,1","8",12,10,"nein","nein",10,"nein","FDP","Dr.",3000,"ja","3","selten (einige Male pro Jahr)","nein","nein","bitte nicht"
"18","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,189,14,6,NA,9,8,"2,5","9",17,15,"keine Ahnung","ja",4,"nein","BSW","Diplom (abgeschlossenes Studium)",3000,"ja","2","nein, nie","nein","nein","mir egal"
"19","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",50,201,28,5,7,8,3,"2,0","14",14,35,"nein","nein",11,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",NA,"ja","4","selten (einige Male pro Jahr)","nein","ja","bitte nicht"
"20","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,183,27,6,9,7,10,"3,4","11",29,48,"ja","nein",5,"ja","Gruene","Diplom (abgeschlossenes Studium)",2800,"ja","2,5","haeufig (einige Male pro Woche)","nein","ja","bitte nicht"
"21","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,166,0,4,8,1,1,"2,5","3",1,10,"ja","ja",5,"nein","Die Linke","Hauptschul- oder Realschulabschluss",1e+06,"ja","3","gelegentlich (einige Male pro Monat)","ja","ja","mir egal"
"22","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,182,115,7,8,5,6,"2,8","11",28,60,"nein","ja",5,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",2600,"ja","3","selten (einige Male pro Jahr)","ja","ja","bitte nicht"
"23","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,178,40,7,8,7,6,"2,7","7",20,30,"nein","nein",10,"nein","FDP","Diplom (abgeschlossenes Studium)",2500,"ja","7","haeufig (einige Male pro Woche)","nein","nein","bitte nicht"
"24","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,178,30,7,10,5,3,"2,5","15",35,55,"keine Ahnung","ja",0.6,"nein","eine andere Partei","Abitur",4000,"ja","3","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"25","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,192,10,3,8,1,3,"2,4","5",35,15,"nein","kann Frage nicht sinnvoll beantworten",2,"ja","werde nicht waehlen","Hauptschul- oder Realschulabschluss",4000,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja","bitte nicht"
"26","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,165,7,6,8,5,2,"3,0","1",90,70,"ja","ja",2,"nein","","Hauptschul- oder Realschulabschluss",27000,"nein","7","nein, nie","nein","nein","bitte nicht"
"27","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,157,16,7,4,4,7,"2,7","9",30,45,"nein","kann Frage nicht sinnvoll beantworten",1.5,"nein","BSW","Diplom (abgeschlossenes Studium)",3000,"ja","4","nein, nie","nein","nein","bitte nicht"
"28","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,176,21,8,9,8,8,"1,3","15",16,20,"nein","nein",12,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",3000,"ja","8","selten (einige Male pro Jahr)","nein","nein","bitte nicht"
"29","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,158,7,7,1,4,6,"1,7","kann Frage nicht sinnvoll beantworten",35,65,"nein","nein",7,"ja","Gruene","Hauptschul- oder Realschulabschluss",1.2,"ja","0,5","selten (einige Male pro Jahr)","nein","ja","mir egal"
"30","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,176,0,10,10,10,10,"2,1","8",12,40,"ja","ja",12,"nein","SPD","Diplom (abgeschlossenes Studium)",2600,"ja","10","nein, nie","nein","nein","bitte nicht"
"31","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,179,0,7,10,8,4,"1,3","14",3,12,"ja","nein",3.5,"ja","SPD","Diplom (abgeschlossenes Studium)",70,"ja","3","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"32","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,194,40,8,7,9,2,"2,5","11",90,70,"nein","nein",13,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",NA,"ja","3","nein, nie","nein","nein","bitte nicht"
"33","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,185,40,5,7,4,4,"2,6","10",20,70,"nein","nein",7,"nein","BSW","Hauptschul- oder Realschulabschluss",2500,"ja","4","nein, nie","nein","nein","bitte nicht"
"34","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,170,0,10,6,5,1,"2,5","6",7,20,"nein","ja",2.5,"ja","SPD","Hauptschul- oder Realschulabschluss",2500,"ja","7","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"35","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,183,15,8,10,9,4,"1,9","5",70,45,"ja","ja",5,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss",5000,"ja","4","selten (einige Male pro Jahr)","nein","nein","mir egal"
"36","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,188,14,9,7,8,10,"1,2","kann Frage nicht sinnvoll beantworten",30,65,"nein","kann Frage nicht sinnvoll beantworten",3,"ja","Gruene","Hauptschul- oder Realschulabschluss",3600,"ja","1","selten (einige Male pro Jahr)","nein","ja","mir egal"
"37","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,183,26,4,4,5,3,"1,8","12",30,30,"ja","ja",6,"nein","AfD","Hauptschul- oder Realschulabschluss",NA,"ja","4","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"38","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,192,65,3,2,2,1,"3,3","2",9,5,"ja","ja",8,"nein","werde nicht waehlen","Abitur",2100,"ja","8","nein, nie","nein","ja","bitte nicht"
"39","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,170,5,5,9,2,1,"3,2","10",35,35,"keine Ahnung","ja",2,"bin nicht sicher","CDU/CSU","Hauptschul- oder Realschulabschluss",5500,"ja","8","selten (einige Male pro Jahr)","ja","ja","bitte nicht"
"40","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,160,8,8,8,7,1,"1,5","11",2,22,"ja","nein",1,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",2500,"ja","6","selten (einige Male pro Jahr)","ja","ja","mir egal"
"41","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,176,5,8,9,9,2,"2,2","11",25,25,"nein","ja",7,"ja","","Diplom (abgeschlossenes Studium)",2300,"nein","6","selten (einige Male pro Jahr)","nein","nein","bitte nicht"
"42","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,157,0,2,8,7,1,"2,4","13",35,50,"ja","ja",5,"nein","CDU/CSU","Abitur",3000,"ja","3","nein, nie","nein","nein","mir egal"
"43","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,166,10,1,7,9,7,"2,5","11",2,30,"keine Ahnung","ja",4,"nein","SPD","Hauptschul- oder Realschulabschluss",NA,"nein","6","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","unbedingt"
"44","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,182,35,7,8,8,5,"3,6","7",45,30,"keine Ahnung","nein",4,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",2000,"nein","6","gelegentlich (einige Male pro Monat)","nein","ja","bitte nicht"
"45","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,191,30,5,6,6,6,"3,1","8",5,45,"nein","nein",8,"nein","CDU/CSU","Abitur",3000,"ja","3","gelegentlich (einige Male pro Monat)","nein","ja","bitte nicht"
"46","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,167,0,6,8,7,2,"2,4","14",30,40,"nein","nein",2,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",2500,"ja","4","nein, nie","nein","nein","bitte nicht"
"47","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,187,42,8,10,7,5,"1,8","15",50,64,"keine Ahnung","ja",8,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",2800,"ja","2","nein, nie","nein","ja","bitte nicht"
"48","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,176,35,7,7,4,3,"3,8","9",4,30,"ja","ja",11,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",6,"ja","3","gelegentlich (einige Male pro Monat)","ja","ja","mir egal"
"49","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,172,11,1,9,1,2,"1,3","15",30,45,"ja","ja",3,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",NA,"ja","5","gelegentlich (einige Male pro Monat)","nein","ja","bitte nicht"
"50","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,196,25,8,6,7,7,"2,3","11",5,10,"keine Ahnung","nein",7,"nein","","Diplom (abgeschlossenes Studium)",3500,"ja","1,5","selten (einige Male pro Jahr)","nein","ja","mir egal"
"51","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,192,25,5,9,3,5,"1,8","4",4,25,"ja","ja",10,"nein","Die Linke","Diplom (abgeschlossenes Studium)",40000,"ja","2","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"52","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","",42,189,30,4,10,2,4,"3,1","",0,25,"ja","ja",6,"ja","AfD","Abitur",5000,"ja","5","selten (einige Male pro Jahr)","nein","nein","bitte nicht"
"53","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44.5,182,20,2,9,2,1,"3,2","4",25,50,"ja","ja",5,"bin nicht sicher","SPD","Hauptschul- oder Realschulabschluss",6000,"nein","2","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"54","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,157,2,4,7,6,5,"3,0","10",4,30,"nein","nein",2,"nein","BSW","Dr.",3000,"nein","8","nein, nie","ja","nein","bitte nicht"
"55","2024/10/12 00:00:00 PM OESZ","","maennlich",42,181,45,9,8,5,1,"2,7","11",34,50,"ja","ja",4.5,"ja","AfD","Abitur",3200,"nein","10","selten (einige Male pro Jahr)","nur gelegentlich","nein","bitte nicht"
"56","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,158,18,6,6,7,5,"3,3","10",6,25,"nein","nein",NA,"","","Abitur",NA,"ja","6","nein, nie","nein","nein","mir egal"
"57","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,174,13,NA,NA,6,5,"2,0","14",3,20,"nein","nein",2,"nein","Gruene","Diplom (abgeschlossenes Studium)",55000,"nein","","gelegentlich (einige Male pro Monat)","nein","ja","unbedingt"
"58","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,191,25,5,8,6,2,"2,2","13",30,55,"ja","kann Frage nicht sinnvoll beantworten",10,"nein","Gruene","Diplom (abgeschlossenes Studium)",2700,"ja","2.5","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"59","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",38,187,0,3,5,2,4,"3,0","kann Frage nicht sinnvoll beantworten",1,10,"nein","nein",3.5,"nein","CDU/CSU","Abitur",2600,"nein","3","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"60","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,187,0,8,7,9,7,"1,5","15",12,40,"ja","ja",NA,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",2800,"ja","4","selten (einige Male pro Jahr)","nein","nein","mir egal"
"61","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,191,35,7,8,6,1,"2,3","12",10,50,"nein","",7,"bin nicht sicher","FDP","Diplom (abgeschlossenes Studium)",3000,"ja","4","gelegentlich (einige Male pro Monat)","ja","ja","bitte nicht"
"62","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,182,11,4,9,5,3,"3,2","12",4,8,"ja","ja",NA,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss",3,"ja","4","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja","mir egal"
"63","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,170,45,8,9,5,8,"3,1","5",1.7,27,"ja","ja",9,"ja","CDU/CSU","Abitur",4000,"nein","2","haeufig (einige Male pro Woche)","nur gelegentlich","ja","mir egal"
"64","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,181,10,7,5,7,7,"1,9","12",30,40,"nein","kann Frage nicht sinnvoll beantworten",4.5,"nein","SPD","Hauptschul- oder Realschulabschluss",1800,"ja","5","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"65","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,185,25,9,10,10,9,"2,0","14",18,40,"keine Ahnung","nein",5,"nein","CDU/CSU","Abitur",NA,"ja","2","selten (einige Male pro Jahr)","nein","nein","mir egal"
"66","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,192,11,9,9,8,4,"2,1","13",4,10,"ja","ja",1,"nein","Die Linke","Hauptschul- oder Realschulabschluss",3,"ja","8","haeufig (einige Male pro Woche)","ja","ja","mir egal"
"67","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,178,10,7,5,5,3,"3,3","9",11,80,"keine Ahnung","ja",2.5,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",3000,"ja","5","gelegentlich (einige Male pro Monat)","nein","ja","bitte nicht"
"68","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,169,8,7,8,7,4,"2,8","kann Frage nicht sinnvoll beantworten",3,20,"nein","ja",NA,"nein","eine andere Partei","Abitur",2700,"ja","","selten (einige Male pro Jahr)","nein","nein","bitte nicht"
"69","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44.5,178,45,6,7,5,5,"2,9","6",10,30,"keine Ahnung","ja",17,"nein","werde nicht waehlen","Abitur",2800,"ja","9","nein, nie","nur gelegentlich","nein","mir egal"
"70","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,186,0,10,6,8,10,"1,5","8",2,15,"nein","ja",1,"ja","eine andere Partei","Abitur",5000,"ja","3","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"71","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,184,10,8,10,7,3,"3,0","7",16,25,"ja","nein",1,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",2500,"ja","5","nein, nie","nur gelegentlich","ja","bitte nicht"
"72","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,187,55,9,8,6,4,"1,6","13",6,20,"ja","nein",15,"nein","Gruene","Hauptschul- oder Realschulabschluss",4000,"ja","3","nein, nie","nein","nein","bitte nicht"
"73","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,188,26,9,10,7,10,"2,0","13",3,12,"keine Ahnung","nein",9,"nein","Gruene","Diplom (abgeschlossenes Studium)",3,"ja","3","nein, nie","nein","nein","unbedingt"
"74","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",43,181,4,4,4,5,2,"3,0","9",2,25,"nein","ja",1.5,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",3000,"nein","8","haeufig (einige Male pro Woche)","nein","nein","mir egal"
"75","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,178,2,7,9,7,2,"3,0","5",32,65,"nein","ja",7,"ja","SPD","Hauptschul- oder Realschulabschluss",NA,"ja","8","gelegentlich (einige Male pro Monat)","ja","ja","bitte nicht"
"76","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,180,45,9,7,7,7,"2,7","10",30,55,"nein","ja",16,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",4000,"ja","5","selten (einige Male pro Jahr)","nein","nein","bitte nicht"
"77","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,167,13,7,9,6,5,"1,9","9",31,25,"nein","nein",3,"nein","Die Linke","Hauptschul- oder Realschulabschluss",3.5,"ja","3","nein, nie","nein","nein","mir egal"
"78","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,160,0,8,9,8,5,"2,6","10",8,20,"ja","nein",10,"nein","SPD","Hauptschul- oder Realschulabschluss",3000,"ja","4","nein, nie","nein","nein","mir egal"
"79","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,166,6,4,5,2,1,"3,1","4",45,25,"keine Ahnung","nein",2,"ja","BSW","Diplom (abgeschlossenes Studium)",NA,"ja","6","selten (einige Male pro Jahr)","nein","nein","mir egal"
"80","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,175,65,6,8,6,6,"2,1","14",50,60,"nein","nein",10,"ja","FDP","Hauptschul- oder Realschulabschluss",40000,"ja","3","selten (einige Male pro Jahr)","nein","ja","mir egal"
"81","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,167,0,6,9,7,5,"2,1","14",30,60,"keine Ahnung","nein",5,"ja","eine andere Partei","Diplom (abgeschlossenes Studium)",30000,"ja","4","nein, nie","nein","ja","mir egal"
"82","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,179,60,7,9,8,5,"2,0","5",70,75,"nein","nein",11,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss",2500,"ja","7","nein, nie","nein","nein","bitte nicht"
"83","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,178,20,7,6,2,9,"3,1","8",8,70,"ja","nein",3.5,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",3700,"ja","6,5","selten (einige Male pro Jahr)","nein","nein","mir egal"
