"","Timestamp","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.zum.Zwecke.der.Veranschaulichung.von.Methoden.in.den.Vorlesungen.Statistik.1...2.sowie.in.den.dazugehoerigen.Tutorien.genutzt.werden..Dieses.Einverstaendnis.kann.jederzeit.durch.Nachricht.an.den.Dozenten.widerrufen.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Koennten.Sie.sich.vorstellen..einen.Dr..zu.machen.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.morgens.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.wuerden.Sie.waehlen..wenn.am.kommenden.Sonntag.eine.Bundestagswahl.waere.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft."
"34","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,190,7,7,7,6,"1,3","kann Frage nicht sinnvoll beantworten","keine Ahnung",0,15,"nein","Gruene","Diplom (abgeschlossenes Studium)","ja","ja"
"35","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",48,190,8,5,10,7,"3,2","14","keine Ahnung",3,30,"nein","Gruene","","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"36","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44.5,182,8,10,4,7,"2,8","11","nein",11,40,"ja","FDP","Diplom (abgeschlossenes Studium)","nein","ja"
"37","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,165,9,8,7,6,"2,8","6","ja",13,25,"nein","Gruene","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"38","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,187,7,10,7,4,"1,3","15","ja",13,55,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)","nein","nein"
"39","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,189,7,8,10,6,"2,5","15","ja",3,10,"nein","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","ja","nein"
"40","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,170,4,6,2,1,"2,7","kann Frage nicht sinnvoll beantworten","keine Ahnung",30,70,"ja","wuerde nicht waehlen gehen","Diplom (abgeschlossenes Studium)","nein","nein"
"41","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,157,10,10,7,10,"3,6","6","keine Ahnung",13,80,"nein","Die Linke","Hauptschul- oder Realschulabschluss","nein","nein"
"42","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,156,4,7,6,4,"1,8","14","keine Ahnung",4,6,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)","nein","nein"
"43","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,167,7,5,4,3,"2,7","10","nein",4,10,"bin nicht sicher","Gruene","Diplom (abgeschlossenes Studium)","ja","ja"
"44","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,186,7,9,9,5,"1,8","13","nein",10,30,"nein","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"45","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,168,7,10,4,8,"1,8","11","ja",12,20,"ja","FDP","Hauptschul- oder Realschulabschluss","nein","ja"
"46","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,163,6,8,10,4,"1,9","15","keine Ahnung",20,45,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","nein"
"47","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,187,6,10,7,7,"1,2","12","ja",28,25,"nein","FDP","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","wie bitte"
"48","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,179,7,6,4,5,"2,7","10","ja",2,40,"bin nicht sicher","eine andere Partei","Hauptschul- oder Realschulabschluss","nein","ja"
"49","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,197,5,8,2,2,"3,3","2","keine Ahnung",20,30,"nein","Die Linke","Abitur","nein","ja"
"50","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,176,7,9,6,5,"2,8","9","keine Ahnung",7,10,"nein","eine andere Partei","Abitur","nein","nein"
"51","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,161,8,5,4,7,"3,2","2","nein",4,30,"bin nicht sicher","Gruene","Hauptschul- oder Realschulabschluss","nein","wie bitte"
"52","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,171,6,5,6,4,"2,6","4","keine Ahnung",5,10,"ja","FDP","Abitur","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"53","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,189,7,NA,6,3,"2,3","12","nein",40,70,"moechte ich nicht sagen","SPD","Hauptschul- oder Realschulabschluss","nein",""
"54","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,155,8,10,10,2,"2,4","12","ja",NA,60,"nein","CDU/CSU","","nein","nein"
"55","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,179,8,7,5,2,"2,6","8","nein",35,55,"ja","FDP","Hauptschul- oder Realschulabschluss","ja","ja"
"56","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,164,2,4,2,2,"3,3","7","nein",35,60,"ja","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","nein","nein"
"57","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,187,7,6,6,8,"2,2","14","nein",45,65,"nein","eine andere Partei","Abitur","nein","nein"
"58","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,167,1,2,5,2,"2,7","9","nein",32,25,"nein","FDP","","nein","nein"
"59","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,177,5,8,3,2,"1,6","10","ja",25,35,"bin nicht sicher","SPD","Hauptschul- oder Realschulabschluss","nein","nein"
"60","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,167,9,10,1,9,"3,3","5","nein",3,20,"ja","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"61","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,188,9,9,6,5,"2,4","9","keine Ahnung",20,50,"nein","eine andere Partei","Abitur","nein","ja"
"62","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,178,5,6,5,9,"2,5","10","nein",18,55,"nein","Die Linke","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"63","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,182,8,10,7,4,"3,1","8","keine Ahnung",72,30,"ja","SPD","Diplom (abgeschlossenes Studium)","nein","nein"
"64","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,177,7,10,7,7,"2,6","10","nein",5,20,"ja","FDP","Diplom (abgeschlossenes Studium)","nein","ja"
"65","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,165,6,8,5,4,"1,9","13","nein",50,155,"nein","","","nein","nein"
"66","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,176,4,6,3,5,"2,8","9","nein",17,30,"moechte ich nicht sagen","eine andere Partei","Hauptschul- oder Realschulabschluss","nein","nein"
"67","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,183,8,6,5,2,"2,2","8","nein",5,10,"ja","FDP","Dr.","nein","nein"
"68","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",49,206,8,7,9,6,"3,0","13","keine Ahnung",30,25,"nein","","Hauptschul- oder Realschulabschluss","nein","nein"
"69","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,183,7,8,9,5,"3,4","8","keine Ahnung",35,35,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"70","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,181,6,8,4,2,"3,2","13","ja",40,33,"ja","eine andere Partei","Abitur","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"71","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,185,7,9,6,4,"1,1","14","keine Ahnung",5,17,"ja","FDP","Diplom (abgeschlossenes Studium)","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"72","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,158,7,7,10,9,"1,9","14","ja",4,40,"ja","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"73","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,167,4,8,4,7,"1,4","14","ja",17,60,"bin nicht sicher","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","nein"
"74","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,168,7,4,4,8,"3,0","6","keine Ahnung",14,40,"ja","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"75","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,175,2,8,8,4,"1,5","12","ja",37,70,"nein","SPD","Hauptschul- oder Realschulabschluss","nein","nein"
"76","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,162,9,3,6,2,"2,8","10","nein",3,10,"nein","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","nein","nein"
"77","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,163,6,8,4,5,"2,7","10","nein",90,100,"ja","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"78","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,171,6,5,9,4,"2,8","14","keine Ahnung",25,55,"bin nicht sicher","Gruene","Hauptschul- oder Realschulabschluss","nein","ja"
"79","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,178,8,8,6,4,"2,0","8","ja",6,30,"nein","Gruene","Diplom (abgeschlossenes Studium)","nein","nein"
"80","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,163,1,7,5,3,"1,5","15","keine Ahnung",70,60,"ja","eine andere Partei","Diplom (abgeschlossenes Studium)","nein","ja"
"81","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,188,8,9,8,6,"2,6","10","keine Ahnung",50,55,"ja","Gruene","Hauptschul- oder Realschulabschluss","nein","wie bitte"
"82","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,163,6,9,2,6,"1,9","13","ja",9,25,"ja","SPD","Hauptschul- oder Realschulabschluss","nein","ja"
"83","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,185,8,9,10,10,"1,4","14","ja",14,22,"bin nicht sicher","SPD","Hauptschul- oder Realschulabschluss","nein","ja"
"84","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,177,6,7,6,9,"2,3","13","nein",2,9,"bin nicht sicher","Gruene","Abitur","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"85","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,170,5,6,9,4,"2,2","12","nein",14,50,"ja","Gruene","Abitur","nein","nein"
"86","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","moechte ich nicht sagen",44,182,6,8,3,5,"2,7","11","ja",8.7,50,"ja","AfD","Abitur","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"87","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,172,10,7,6,8,"2,1","15","nein",12,25,"nein","SPD","Diplom (abgeschlossenes Studium)","nein","nein"
"88","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,155,5,8,4,2,"2,6","10","nein",17,5,"moechte ich nicht sagen","Gruene","Abitur","bin Gelegenheitsraucher*in (z.B. bei Partys)","nein"
"89","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,188,7,7,5,3,"2,5","4","ja",4,10,"ja","Gruene","Dr.","nein","ja"
"90","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,166,6,8,5,2,"2,6","11","keine Ahnung",71,70,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss","nein","nein"
"91","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,154,6,7,8,5,"3,6","15","nein",15,40,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss","nein","nein"
"92","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,185,6,9,4,1,"2,8","8","nein",45,50,"nein","eine andere Partei","Abitur","nein","ja"
"93","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,173,9,9,6,8,"2,5","10","ja",14,30,"ja","wuerde nicht waehlen gehen","Dr.","nein","ja"
"94","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,183,8,9,2,6,"2,2","10","keine Ahnung",80,75,"ja","CDU/CSU","Hauptschul- oder Realschulabschluss","nein","ja"
"95","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,174,5,9,6,1,"2,8","8","nein",4,10,"nein","Gruene","Abitur","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"96","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,175,5,9,5,3,"2,0","9","keine Ahnung",6,15,"nein","Gruene","Diplom (abgeschlossenes Studium)","nein","ja"
"97","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,189,5,7,6,8,"2,5","9","nein",1,9,"nein","Gruene","Abitur","nein","nein"
"98","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,169,7,10,9,5,"3,0","8","keine Ahnung",9,22,"ja","SPD","Diplom (abgeschlossenes Studium)","ja","ja"
"99","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,159,3,7,7,1,"2,5","12","nein",14,20,"ja","FDP","Diplom (abgeschlossenes Studium)","nein","ja"
"100","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,186,7,10,4,6,"2,1","11","ja",1,20,"ja","FDP","Diplom (abgeschlossenes Studium)","ja","ja"
"101","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,173,8,8,10,4,"1,6","8","ja",2,20,"bin nicht sicher","Gruene","Diplom (abgeschlossenes Studium)","nein","nein"
"102","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,165,8,8,6,2,"1,8","15","nein",30,65,"nein","SPD","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"103","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,168,7,4,7,3,"2,4","5","ja",35,50,"nein","FDP","Dr.","nein","nein"
"104","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,180,4,8,2,1,"2,0","8","nein",6,25,"ja","CDU/CSU","Abitur","nein","nein"
"105","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,189,6,10,6,6,"2,2","9","ja",2,30,"nein","Gruene","Hauptschul- oder Realschulabschluss","nein","nein"
"106","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,163,6,5,7,3,"3,3","7","nein",12,20,"ja","eine andere Partei","Abitur","nein","ja"
"107","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,165,7,8,5,1,"1,5","9","ja",66,70,"nein","Die Linke","Abitur","nein","nein"
"108","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,162,7,10,8,2,"1,1","14","ja",17,60,"nein","FDP","Hauptschul- oder Realschulabschluss","nein","nein"
"109","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,174,6,8,9,2,"2,8","12","nein",16,50,"ja","Gruene","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"110","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,171,8,9,4,3,"3,3","2","keine Ahnung",27,50,"bin nicht sicher","SPD","Abitur","ja","ja"
"111","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,178,10,4,8,10,"1,7","12","ja",2,10,"ja","SPD","Abitur","nein","nein"
"112","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,184,9,9,9,6,"2,5","8","ja",20,70,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)","nein","nein"
"113","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,187,5,7,8,7,"3,2","7","nein",45,100,"nein","FDP","Hauptschul- oder Realschulabschluss","nein","ja"
"114","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,160,6,8,10,5,"2,4","11","keine Ahnung",25,60,"ja","Gruene","Hauptschul- oder Realschulabschluss","nein","ja"
