"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Dieses.Einverstaendnis.kann.jederzeit.durch.Nachricht.an.den.Dozenten.widerrufen.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Koennten.Sie.sich.vorstellen..einen.Dr..zu.machen.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.haben..bzw..haetten..Sie.bei.der.Bundestagswahl.gewaehlt.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft."
"28","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,187,10,5,4,4,10,"3,1","5","keine Ahnung",11,15,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",800,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"29","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,178,35,4,8,9,2,"2,3","14","ja",6,20,"ja","FDP","Hauptschul- oder Realschulabschluss",3000,"ja","nein, nie","nur gelegentlich","nein"
"30","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,182,15,6,6,5,4,"2,5","11","nein",7,10,"nein","SPD","Diplom (abgeschlossenes Studium)",3000,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","nein"
"31","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,174,2,4,6,2,1,"3,4","4","nein",65,110,"ja","SPD","Hauptschul- oder Realschulabschluss",35000,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"32","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,188,20,6,9,8,1,"3,2","9","nein",4.5,10,"ja","FDP","Dr.",1500,"ja","selten (einige Male pro Jahr)","nein","nein"
"33","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,180,0,2,9,2,4,"2,4","10","ja",14,35,"bin nicht sicher","FDP","Hauptschul- oder Realschulabschluss",5000,"nein","gelegentlich (einige Male pro Monat)","nein","nein"
"34","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,176,40,6,9,3,4,"3,5","7","nein",40,50,"nein","Die Linke","Hauptschul- oder Realschulabschluss",2800,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"35","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,181,55,6,10,7,4,"2,5","9","nein",8,45,"nein","FDP","Hauptschul- oder Realschulabschluss",2600,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"36","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,192,55,9,9,8,2,"2,8","4","ja",25,75,"nein","FDP","Abitur",2000,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"37","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,170,12,9,7,10,6,"2,1","15","nein",23,60,"ja","FDP","Hauptschul- oder Realschulabschluss",2500,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"38","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,177,20,5,9,2,3,"2,9","4","ja",11,50,"ja","SPD","Abitur",50000,"nein","gelegentlich (einige Male pro Monat)","nein","ja"
"39","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,187,20,1,2,10,1,"3,2","5","ja",7,30,"","war nicht waehlen","Abitur",2000,"ja","nein, nie","nein","nein"
"40","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,181,35,7,6,8,1,"3,3","5","nein",40,45,"nein","SPD","Abitur",3500,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"41","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,176,30,3,9,2,2,"3,1","0","nein",70,65,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",4500,"ja","nein, nie","ja","ja"
"42","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,182,62,8,10,7,NA,"3,0","4","keine Ahnung",25,45,"ja","FDP","Diplom (abgeschlossenes Studium)",2800,"nein","selten (einige Male pro Jahr)","nur gelegentlich","nein"
"43","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,172,33,8,10,7,8,"2,1","13","ja",11,25,"nein","Die Linke","Hauptschul- oder Realschulabschluss",3500,"ja","selten (einige Male pro Jahr)","nein","ja"
"44","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,172,3,3,7,5,2,"1,2","8","nein",17,30,"nein","SPD","Hauptschul- oder Realschulabschluss",3000,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","nein"
"45","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,183,45,7,10,10,2,"1,9","14","keine Ahnung",7,40,"nein","FDP","Hauptschul- oder Realschulabschluss",4000,"ja","nein, nie","nein","ja"
"46","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","moechte ich nicht sagen",37,186,16,2,8,4,8,"3,2","2","nein",10,35,"ja","Gruene","Hauptschul- oder Realschulabschluss",5000,"ja","selten (einige Male pro Jahr)","nein","ja"
"47","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,167,0,2,8,1,1,"2,0","7","keine Ahnung",2,10,"bin nicht sicher","Gruene","Diplom (abgeschlossenes Studium)",4000,"nein","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"48","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,180,45,3,9,5,1,"2,8","5","keine Ahnung",10,20,"ja","FDP","Abitur",3500,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"49","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,182,25,8,9,7,9,"3,0","11","ja",4,15,"nein","FDP","Diplom (abgeschlossenes Studium)",2300,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"50","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,171,0,6,7,6,3,"2,7","11","ja",20,35,"nein","Die Linke","Diplom (abgeschlossenes Studium)",2000,"ja","selten (einige Male pro Jahr)","nein","ja"
"51","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,1.81,60,4,7,4,4,"2,7","8","keine Ahnung",17,35,"nein","FDP","Abitur",NA,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"52","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,202,20,7,9,5,4,"3,1","11","ja",10,20,"bin nicht sicher","FDP","Diplom (abgeschlossenes Studium)",1000000,"ja","haeufig (einige Male pro Woche)","nein","ja"
"53","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,184,25,10,9,9,8,"2,0","15","nein",5,35,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",1800,"ja","haeufig (einige Male pro Woche)","nein","ja"
"54","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,179,15,9,7,8,8,"1,5","10","ja",2,5,"nein","Gruene","Diplom (abgeschlossenes Studium)",NA,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"55","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,198,50,8,10,6,5,"1,4","8","ja",25,50,"ja","FDP","Hauptschul- oder Realschulabschluss",3000,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"56","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,186,26,9,8,1,8,"2,1","13","keine Ahnung",9,30,"ja","Die Linke","Dr.",4500,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"57","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,182,40,7,6,10,4,"2,5","8","keine Ahnung",11,38,"nein","Gruene","Hauptschul- oder Realschulabschluss",1500,"ja","nein, nie","nein","nein"
"58","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,170,20,6,9,5,4,"2,5","6","keine Ahnung",27,30,"ja","FDP","Abitur",2400,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"59","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,187,65,7,9,6,6,"3,4","4","ja",13,50,"bin nicht sicher","Gruene","Diplom (abgeschlossenes Studium)",3000,"ja","haeufig (einige Male pro Woche)","nein","ja"
"60","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,165,16,3,2,7,1,"3,1","10","nein",NA,40,"bin nicht sicher","war nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"ja","nein, nie","nein","nein"
"61","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,185,14,2,7,1,1,"2,4","6","ja",12,50,"nein","FDP","Hauptschul- oder Realschulabschluss",2500,"ja","haeufig (einige Male pro Woche)","nein","ja"
"62","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,171,15,1,1,9,4,"2,8","11","keine Ahnung",3,20,"nein","Die Linke","Hauptschul- oder Realschulabschluss",NA,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","nein"
"63","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,196,15,2,10,1,1,"3,6","10","nein",7,20,"ja","FDP","Abitur",2500,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"64","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,185,50,5,6,3,5,"2,3","8","nein",0,20,"ja","eine andere Partei","Diplom (abgeschlossenes Studium)",1400,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"65","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,184,60,9,9,8,8,"2,9","5","nein",35,80,"ja","FDP","Hauptschul- oder Realschulabschluss",480,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"66","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,169,0,5,8,5,4,"1,8","10","keine Ahnung",25,65,"nein","Gruene","Abitur",2500,"nein","haeufig (einige Male pro Woche)","nein","nein"
"67","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,184,5,4,9,5,8,"3,1","7","ja",4,20,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",3000,"ja","selten (einige Male pro Jahr)","nein","nein"
"68","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,179,20,8,3,10,9,"3,2","0","ja",20,35,"nein","FDP","Hauptschul- oder Realschulabschluss",60000,"ja","nein, nie","nein","nein"
"69","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,190,50,8,9,7,5,"2,5","4","ja",30,230,"ja","FDP","Hauptschul- oder Realschulabschluss",4000,"ja","selten (einige Male pro Jahr)","nur gelegentlich","nein"
"70","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,170,5,6,9,1,6,"2,4","5","ja",40,70,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss",2,"ja","selten (einige Male pro Jahr)","nein","nein"
"71","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,171,20,4,5,8,4,"2,6","10","ja",20,50,"nein","SPD","Dr.",3500,"ja","nein, nie","nein","nein"
"72","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,171,62,4,7,5,3,"2,5","13","keine Ahnung",30,45,"nein","FDP","Diplom (abgeschlossenes Studium)",2700,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"73","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,189,10,7,9,5,4,"2,5","11","nein",27,50,"ja","FDP","Hauptschul- oder Realschulabschluss",2000,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"74","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,160,0,5,9,9,3,"1,9","13","ja",13,30,"ja","Gruene","Diplom (abgeschlossenes Studium)",4000,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"75","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,163,4,5,8,2,2,"2,1","8","keine Ahnung",30,15,"nein","Die Linke","Hauptschul- oder Realschulabschluss",100000,"ja","nein, nie","nein","nein"
"76","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,193,35,8,9,3,1,"3,0","4","ja",15,35,"nein","Gruene","Abitur",2200,"ja","selten (einige Male pro Jahr)","nur gelegentlich","ja"
"77","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,176,0,4,9,7,2,"3,2","kann Frage nicht sinnvoll beantworten","nein",6,10,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",2500,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"78","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,172,22,6,6,5,7,"3,3","7","nein",12,30,"nein","FDP","Abitur",2500,"ja","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"79","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,185,15,7,9,5,6,"3,2","9","keine Ahnung",16,25,"nein","FDP","Hauptschul- oder Realschulabschluss",3200,"ja","gelegentlich (einige Male pro Monat)","ja","nein"
"80","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,182,15,10,10,10,10,"1,9","10","ja",40,50,"ja","Gruene","Hauptschul- oder Realschulabschluss",2300,"ja","nein, nie","nein","nein"
"81","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,176,36,4,8,2,1,"2,5","11","keine Ahnung",30,45,"ja","eine andere Partei","Diplom (abgeschlossenes Studium)",3000,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"82","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,177,30,9,10,6,9,"2,8","11","keine Ahnung",3,20,"ja","war nicht waehlen","Hauptschul- oder Realschulabschluss",4000,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"83","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,172,0,4,7,7,2,"2,8","14","nein",25,50,"nein","Die Linke","Hauptschul- oder Realschulabschluss",3400,"ja","nein, nie","nein","nein"
"84","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,186,65,9,10,9,4,"2,6","13","keine Ahnung",3,10,"nein","FDP","Diplom (abgeschlossenes Studium)",2000,"nein","haeufig (einige Male pro Woche)","nein","ja"
"85","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,180,35,6,7,7,6,"3,1","9","keine Ahnung",12,20,"nein","war nicht waehlen","Diplom (abgeschlossenes Studium)",5000,"ja","nein, nie","nein","nein"
"86","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,159,20,5,6,9,3,"3,3","13","ja",50,40,"ja","CDU/CSU","Abitur",2800,"nein","nein, nie","nein","nein"
"87","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,184,30,9,8,7,7,"2,4","11","ja",50,75,"ja","FDP","Hauptschul- oder Realschulabschluss",2000,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"88","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,157,25,6,6,3,4,"3,6","2","nein",6,35,"ja","FDP","Hauptschul- oder Realschulabschluss",3000,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"89","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,175,50,7,8,5,6,"2,3","15","ja",25,30,"nein","FDP","Abitur",4500,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"90","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,182,36,4,9,6,5,"3,8","6","keine Ahnung",25,45,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss",4500,"ja","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"91","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,180,20,2,8,3,4,"2,8","6","nein",30,30,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",2000,"nein","gelegentlich (einige Male pro Monat)","nein","nein"
"92","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,187,82,3,6,4,4,"2,9","8","nein",12,25,"nein","SPD","Abitur",4000,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"93","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,179,30,8,8,7,8,"2,2","9","keine Ahnung",7,25,"nein","SPD","Hauptschul- oder Realschulabschluss",3000,"ja","nein, nie","nein","nein"
"94","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,164,20,4,6,5,2,"2,5","15","keine Ahnung",20,35,"nein","FDP","Abitur",4000,"ja","nein, nie","nein","nein"
