"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Dieses.Einverstaendnis.kann.jederzeit.durch.Nachricht.an.den.Dozenten.widerrufen.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Koennten.Sie.sich.vorstellen..einen.Dr..zu.machen.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.haben..bzw..haetten..Sie.bei.der.Bundestagswahl.gewaehlt.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Ihre.Handy.Bildschirmzeit.am.Tag...in.Stunden.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft."
"11","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,193,12,7,7,6,5,"1,9","9","nein",3,25,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",3000,"nein","13","nein, nie","nein","nein"
"12","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",48,181,25,1,6,5,2,"3,1","kann Frage nicht sinnvoll beantworten","keine Ahnung",35,50,"nein","SPD","Hauptschul- oder Realschulabschluss",3000,"ja","10 ","nein, nie","nein","nein"
"13","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,163,3,5,9,8,4,"2,0","8","nein",52,60,"ja","Die Linke","Diplom (abgeschlossenes Studium)",NA,"ja","5","selten (einige Male pro Jahr)","nein","nein"
"14","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,173,4,9,10,10,8,"1,9","14","nein",7,10,"ja","Gruene","Diplom (abgeschlossenes Studium)",44000,"ja","3 ","gelegentlich (einige Male pro Monat)","nein","ja"
"15","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,183,25,3,5,2,2,"3,6","7","nein",38,10,"nein","FDP","Abitur",5000,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja"
"16","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,165,10,3,5,2,2,"2,4","9","nein",40,120,"nein","war nicht waehlen","Abitur",1,"ja","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"17","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,183,30,6,8,2,2,"2,2","kann Frage nicht sinnvoll beantworten","keine Ahnung",14,25,"nein","FDP","Diplom (abgeschlossenes Studium)",3000,"ja","8","gelegentlich (einige Male pro Monat)","nein","ja"
"18","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","divers",43,189,20,5,8,5,6,"2,2","6","nein",100,85,"ja","FDP","Abitur",3000,"ja","4","haeufig (einige Male pro Woche)","ja","ja"
"19","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,180,20,8,10,8,8,"2,7","10","keine Ahnung",3,20,"bin nicht sicher","FDP","Diplom (abgeschlossenes Studium)",3000,"ja","2","gelegentlich (einige Male pro Monat)","nein","ja"
"20","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,182,0,5,10,3,2,"2,6","7","nein",40,50,"ja","SPD","Hauptschul- oder Realschulabschluss",10,"nein","3","gelegentlich (einige Male pro Monat)","nein","ja"
"21","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,155,0,5,9,8,10,"3,8","7","ja",26,30,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",35000,"ja","8","nein, nie","nein","nein"
"22","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,178,45,4,5,8,6,"2,3","9","nein",11,55,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"ja","4","selten (einige Male pro Jahr)","nein","nein"
"23","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,179,20,8,10,1,4,"3,1","14","keine Ahnung",4,65,"ja","war nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"ja","10","nein, nie","nein","nein"
"24","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,168,5,1,4,1,3,"3,2","10","keine Ahnung",96,65,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",3000,"nein","6","gelegentlich (einige Male pro Monat)","nein","nein"
"25","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,187,55,9,6,5,6,"3,3","8","ja",30,65,"ja","CDU/CSU","Abitur",3000,"ja","5-6","selten (einige Male pro Jahr)","nein","nein"
"26","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,173,10,4,3,5,1,"2,3","10","nein",1,20,"nein","Die Linke","Hauptschul- oder Realschulabschluss",3200,"ja","4","selten (einige Male pro Jahr)","ja","ja"
"27","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,183,5,8,8,5,3,"2,4","9","keine Ahnung",12,32,"nein","FDP","Hauptschul- oder Realschulabschluss",2200,"ja","5","selten (einige Male pro Jahr)","nein","nein"
"28","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40.5,177,12,6,9,5,3,"3,1","kann Frage nicht sinnvoll beantworten","nein",8,55,"nein","FDP","Hauptschul- oder Realschulabschluss",2200,"ja","4","nein, nie","nein","nein"
"29","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,171,5,4,7,5,1,"1,9","14","ja",70,85,"ja","war nicht waehlen","Diplom (abgeschlossenes Studium)",3000,"ja","4","gelegentlich (einige Male pro Monat)","nein","nein"
"30","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,171,2,6,10,6,2,"2,2","8","nein",40,70,"ja","Die Linke","Diplom (abgeschlossenes Studium)",3000,"ja","3","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"31","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,164,12,5,10,7,1,"1,3","12","ja",45,70,"nein","SPD","Hauptschul- oder Realschulabschluss",NA,"ja","6","selten (einige Male pro Jahr)","nein","nein"
"32","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,167,20,5,10,8,6,"2,1","8","nein",70,50,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",5000,"nein","1,5","gelegentlich (einige Male pro Monat)","nein","nein"
"33","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,164,0,5,9,6,5,"2,1","14","ja",7,28,"ja","Gruene","Hauptschul- oder Realschulabschluss",3000,"ja","5","nein, nie","nein","nein"
"34","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,177,15,6,7,6,1,"3,0","10","keine Ahnung",6,20,"nein","eine andere Partei","",4000,"ja","","selten (einige Male pro Jahr)","ja","ja"
"35","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,167,35,5,4,6,4,"3,1","10","nein",40,40,"nein","SPD","",NA,"ja","9","nein, nie","nein","nein"
"36","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,189,12,10,10,7,2,"1,4","8","ja",30,30,"ja","FDP","Diplom (abgeschlossenes Studium)",3000,"ja","3","gelegentlich (einige Male pro Monat)","nein","nein"
"37","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,185,30,7,10,1,6,"2,9","2","ja",11,35,"bin nicht sicher","SPD","Hauptschul- oder Realschulabschluss",3500,"ja","9","haeufig (einige Male pro Woche)","ja","nein"
"38","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,175,17,8,8,10,5,"2,6","15","nein",25,40,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",1.8,"ja","1","selten (einige Male pro Jahr)","nein","nein"
"39","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,192,20,3,7,3,2,"3,3","1","keine Ahnung",80,50,"nein","war nicht waehlen","Abitur",8000,"nein","4","selten (einige Male pro Jahr)","ja","nein"
"40","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,175,20,8,9,8,6,"1,1","13","keine Ahnung",12,35,"ja","FDP","Hauptschul- oder Realschulabschluss",2500,"ja","7","nein, nie","nein",""
"41","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,186,15,7,9,7,7,"2,6","14","nein",20,60,"ja","FDP","Abitur",3000,"ja","8","gelegentlich (einige Male pro Monat)","nur gelegentlich","nein"
"42","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,186,75,8,10,7,7,"3,0","10","nein",25,30,"nein","FDP","Diplom (abgeschlossenes Studium)",4500,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja"
"43","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,184,35,6,7,1,2,"3,2","6","keine Ahnung",20,35,"nein","war nicht waehlen","Diplom (abgeschlossenes Studium)",3000,"ja","2","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"44","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,163,10,3,5,2,1,"2,1","11","ja",67,80,"ja","FDP","Diplom (abgeschlossenes Studium)",2000,"ja","4h","gelegentlich (einige Male pro Monat)","nein","ja"
"45","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,189,85,5,10,9,8,"3,1","6","keine Ahnung",1,20,"nein","war nicht waehlen","Diplom (abgeschlossenes Studium)",50000,"ja","7","gelegentlich (einige Male pro Monat)","ja","ja"
"46","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,167,20,7,5,7,6,"1,5","13","nein",14,60,"nein","eine andere Partei","Diplom (abgeschlossenes Studium)",4500,"ja","5","nein, nie","nein","nein"
"47","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,169,0,3,5,3,4,"3,3","0","nein",9,60,"ja","Die Linke","Diplom (abgeschlossenes Studium)",2500,"ja","8","selten (einige Male pro Jahr)","nur gelegentlich","nein"
"48","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,185,50,8,10,7,6,"3,0","12","ja",5,13,"ja","Gruene","Hauptschul- oder Realschulabschluss",5000,"nein","3","gelegentlich (einige Male pro Monat)","nein","ja"
"49","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,173,60,6,9,7,3,"2,2","10","nein",30,60,"ja","FDP","Abitur",4500,"ja","7","gelegentlich (einige Male pro Monat)","nein","nein"
"50","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,185,30,3,7,10,9,"1,7","15","ja",11,50,"nein","Gruene","Diplom (abgeschlossenes Studium)",100000,"ja","5","haeufig (einige Male pro Woche)","nein","nein"
"51","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,191,25,10,8,8,6,"2,2","15","ja",5,10,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss",NA,"nein","4","nein, nie","nein","ja"
"52","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,176,11,4,10,1,6,"2,5","11","nein",3,10,"ja","war nicht waehlen","Abitur",3000,"ja","8","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"53","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,166,NA,NA,NA,NA,NA,"1,3","","",NA,80,"nein","Die Linke","",5500,"","","nein, nie","nein","nein"
"54","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,174,0,5,7,5,3,"2,9","8","nein",12,15,"ja","Gruene","Abitur",3500,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja"
"55","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,176,20,7,7,5,3,"3,4","4","nein",20,50,"ja","war nicht waehlen","Diplom (abgeschlossenes Studium)",NA,"ja","10","nein, nie","nein","nein"
"56","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,182,68,4,8,4,2,"2,2","10","keine Ahnung",12,5,"nein","war nicht waehlen","Abitur",2500,"ja","6","haeufig (einige Male pro Woche)","nein","ja"
"57","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,180,30,4,10,1,7,"2,7","2","keine Ahnung",14,35,"nein","FDP","Hauptschul- oder Realschulabschluss",3000,"ja","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"58","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,181,70,6,10,6,3,"2,5","7","keine Ahnung",45,45,"ja","CDU/CSU","Hauptschul- oder Realschulabschluss",1800,"nein","4","selten (einige Male pro Jahr)","nein","nein"
"59","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,192,27,7,8,8,9,"1,1","12","nein",6,5,"ja","FDP","Diplom (abgeschlossenes Studium)",2500,"ja","12","selten (einige Male pro Jahr)","nein","nein"
"60","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,167,0,10,8,10,7,"2,5","10","ja",0.5,1,"ja","FDP","Hauptschul- oder Realschulabschluss",2500,"nein","4","gelegentlich (einige Male pro Monat)","nein","ja"
"61","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",35,158,10,8,10,10,4,"1,9","15","keine Ahnung",5,10,"nein","Gruene","Abitur",NA,"ja","6","haeufig (einige Male pro Woche)","nein","nein"
"62","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,168,3,6,8,6,5,"2,6","8","nein",20,55,"nein","SPD","Diplom (abgeschlossenes Studium)",NA,"nein","5","gelegentlich (einige Male pro Monat)","nein","nein"
"63","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,183,25,6,7,5,2,"2,6","9","nein",80,45,"ja","FDP","Abitur",2300,"nein","5","gelegentlich (einige Male pro Monat)","nein","nein"
"64","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,181,0,7,10,7,7,"2,2","9","ja",16,75,"ja","SPD","Hauptschul- oder Realschulabschluss",10000,"ja","2","selten (einige Male pro Jahr)","nein","nein"
"65","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,163,17,9,10,10,4,"2,3","14","keine Ahnung",9,25,"nein","Gruene","Abitur",2600,"ja","4","haeufig (einige Male pro Woche)","nein","nein"
"66","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,1.9,45,2,6,4,3,"3,3","8","ja",0,12,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss",3000,"ja","4 ","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"67","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,176,70,7,5,4,5,"2,5","11","nein",1,30,"nein","war nicht waehlen","Diplom (abgeschlossenes Studium)",NA,"ja","6","selten (einige Male pro Jahr)","nein","ja"
"68","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,176,21,6,10,8,7,"3,7","5","keine Ahnung",12,25,"ja","FDP","Hauptschul- oder Realschulabschluss",40000,"ja","4","nein, nie","nein","nein"
"69","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,154,5,4,4,5,8,"1,1","kann Frage nicht sinnvoll beantworten","ja",20,15,"ja","Gruene","Abitur",2.5,"nein","3","selten (einige Male pro Jahr)","nein","ja"
"70","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,168,0,5,6,5,6,"2,8","8","keine Ahnung",25,90,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",5000,"ja","5","gelegentlich (einige Male pro Monat)","nein","nein"
"71","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,182,45,3,10,8,1,"2,3","12","nein",2,25,"nein","FDP","Diplom (abgeschlossenes Studium)",1800,"nein","3 Stunden","gelegentlich (einige Male pro Monat)","nein","nein"
"72","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,184,6,10,6,7,9,"1,4","12","keine Ahnung",9,5,"nein","Gruene","Diplom (abgeschlossenes Studium)",3800,"ja","2","nein, nie","nein","nein"
"73","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,170,55,4,4,5,1,"2,7","8","nein",40,40,"nein","Gruene","Abitur",15000,"ja","4","haeufig (einige Male pro Woche)","nein","nein"
"74","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,183,65,4,7,3,2,"3,4","1","nein",14,35,"moechte ich nicht sagen","FDP","Abitur",NA,"ja","4","selten (einige Male pro Jahr)","ja","ja"
"75","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",34,159,20,8,9,8,10,"1,7","kann Frage nicht sinnvoll beantworten","ja",4,14,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"nein","4","selten (einige Male pro Jahr)","nein","nein"
"76","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,174,25,7,9,7,6,"3,3","9","nein",4,15,"ja","SPD","Abitur",50000,"nein","3","gelegentlich (einige Male pro Monat)","ja","ja"
"77","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,170,6,4,6,8,6,"2,0","9","keine Ahnung",6,30,"ja","FDP","Hauptschul- oder Realschulabschluss",3000,"ja","3","gelegentlich (einige Male pro Monat)","nein","nein"
"78","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,174,55,8,6,5,2,"2,5","6","nein",14,10,"nein","Die Linke","Hauptschul- oder Realschulabschluss",4000,"ja","5","nein, nie","nein","nein"
"79","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,181,42,5,4,1,1,"3,6","3","ja",11,70,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",50,"ja","8","nein, nie","nein","nein"
"80","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,166,10,8,6,8,9,"2,2","8","nein",90,50,"ja","Gruene","Abitur",40000,"ja","3","selten (einige Male pro Jahr)","nein","nein"
"81","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,163,35,6,6,9,7,"1,9","14","keine Ahnung",90,45,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",NA,"nein","5","nein, nie","nein","nein"
"82","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,179,15,9,10,6,7,"2,7","4","keine Ahnung",10,20,"bin nicht sicher","FDP","Abitur",3000,"ja","8","gelegentlich (einige Male pro Monat)","nein","ja"
"83","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,160,9,6,5,4,5,"1,9","11","keine Ahnung",9,10,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",1500,"ja","4","selten (einige Male pro Jahr)","nein","nein"
"84","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,178,15,4,9,2,3,"3,4","5","nein",1,10,"nein","SPD","Abitur",2500,"ja","3","haeufig (einige Male pro Woche)","nein","ja"
"85","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,179,40,3,7,5,9,"2,5","15","keine Ahnung",45,50,"ja","FDP","Hauptschul- oder Realschulabschluss",4000,"ja","6","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"86","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,175,17,7,9,7,3,"2,5","9","nein",45,75,"nein","Gruene","Hauptschul- oder Realschulabschluss",2500,"nein","1","nein, nie","nein","nein"
"87","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,193,45,6,10,2,3,"1,6","10","keine Ahnung",8,35,"nein","FDP","Hauptschul- oder Realschulabschluss",3500,"ja","7","gelegentlich (einige Male pro Monat)","nein","nein"
"88","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,175,40,6,9,4,5,"3,1","8","keine Ahnung",40,30,"nein","war nicht waehlen","",2000,"","4","gelegentlich (einige Male pro Monat)","nein","nein"
"89","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,182,25,10,6,6,9,"2,1","14","keine Ahnung",8,25,"nein","FDP","Diplom (abgeschlossenes Studium)",50,"ja","4","gelegentlich (einige Male pro Monat)","ja","ja"
"90","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,166,0,9,10,5,6,"2,6","10","keine Ahnung",1,25,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",3000,"nein","5","selten (einige Male pro Jahr)","nur gelegentlich","ja"
"91","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,187,15,7,8,6,6,"2,1","12","keine Ahnung",30,55,"ja","SPD","Hauptschul- oder Realschulabschluss",2500,"ja","5","haeufig (einige Male pro Woche)","nein","nein"
"92","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,173,35,7,10,8,8,"1,2","14","ja",30,30,"nein","FDP","Diplom (abgeschlossenes Studium)",4500,"ja","5","gelegentlich (einige Male pro Monat)","nein","nein"
