"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Welche.Koerpergroesse..in.cm..steht.in.Ihrem.Perso.","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Koennen.Sie.sich.vorstellen..einen.Dr..zu.machen.","Wie.viele.Stunden.pro.Woche.treiben.Sie.Sport.","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.werden.Sie.bei.der.naechsten.Bundestagswahl.voraussichtlich.waehlen.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Ihre.Handy.Bildschirmzeit.am.Tag...in.Stunden.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft."
"26","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,186,35,4,8,5,2,"1,9","15",25,30,"nein",8,"ja","FDP","Abitur",3000,"ja","6","haeufig (einige Male pro Woche)","nein","nein"
"27","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,175,35,6,7,5,5,"3,5","10",30,25,"nein",7,"bin nicht sicher","SPD","Abitur",NA,"ja","12","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"28","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,180,40,7,9,3,2,"2,8","12",6,35,"keine Ahnung",10,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",2000,"ja","4","nein, nie","nein","nein"
"29","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,163,20,6,6,4,5,"3,1","6",26,70,"nein",7,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",3.6,"ja","2","nein, nie","nein","nein"
"30","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,177,35,5,10,7,5,"3,1","9",41,50,"keine Ahnung",5,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",70,"ja","8","gelegentlich (einige Male pro Monat)","ja","ja"
"31","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,159,14,7,3,7,8,"1,7","13",90,50,"ja",4.5,"bin nicht sicher","Die Linke","Abitur",2500,"ja","3","gelegentlich (einige Male pro Monat)","nein","ja"
"32","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,178,62,8,9,8,4,"2,9","11",17,45,"nein",15,"nein","FDP","Hauptschul- oder Realschulabschluss",2600,"nein","4","nein, nie","nein","nein"
"33","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,180,2,6,7,4,6,"2,9","9",0,18,"keine Ahnung",1,"ja","eine andere Partei","",5,"ja","6","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"34","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,168,8,4,4,4,6,"2,0","11",35,45,"keine Ahnung",NA,"nein","darf nicht waehlen","",3600,"ja","4","selten (einige Male pro Jahr)","nein","nein"
"35","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,167,6,5,6,6,2,"1,7","12",2,30,"ja",6,"ja","eine andere Partei","Diplom (abgeschlossenes Studium)",5000,"nein","4","gelegentlich (einige Male pro Monat)","nein","ja"
"36","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,193,75,6,7,1,5,"2,9","7",17,25,"nein",16,"ja","AfD","Hauptschul- oder Realschulabschluss",3000,"ja","2","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"37","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",49,197,30,7,9,5,4,"2,0","9",8,9,"ja",4,"bin nicht sicher","FDP","Diplom (abgeschlossenes Studium)",3500,"ja","4","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"38","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","",44,185,50,7,4,3,1,"2,7","14",5,15,"nein",15,"nein","werde nicht waehlen","Abitur",2500,"ja","5","nein, nie","nein","nein"
"39","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",43,170,10,6,7,7,2,"2,2","14",30,35,"keine Ahnung",16,"ja","CDU/CSU","Abitur",2000,"ja","6","selten (einige Male pro Jahr)","nein","nein"
"40","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,169,65,5,8,9,7,"2,5","13",40,40,"ja",12,"ja","CDU/CSU","Hauptschul- oder Realschulabschluss",7000,"ja","3","gelegentlich (einige Male pro Monat)","nein","nein"
"41","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,174,15,7,10,9,8,"2,6","13",30,20,"ja",4,"bin nicht sicher","eine andere Partei","Diplom (abgeschlossenes Studium)",2700,"ja","0,5","selten (einige Male pro Jahr)","nein","ja"
"42","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,175,10,5,8,4,6,"1,9","11",40,100,"keine Ahnung",12,"nein","Die Linke","Diplom (abgeschlossenes Studium)",3000,"ja","5","selten (einige Male pro Jahr)","nur gelegentlich","ja"
"43","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,185,25,2,6,1,2,"3,0","6",105,85,"keine Ahnung",11,"nein","AfD","Abitur",5000,"nein","5","selten (einige Male pro Jahr)","nein","nein"
"44","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45.5,183,30,3,10,8,2,"2,4","13",7,10,"ja",10,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",NA,"ja","4","selten (einige Male pro Jahr)","nein","nein"
"45","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,175,42,5,5,2,3,"3,0","10",30,35,"nein",1,"nein","werde nicht waehlen","",3500,"ja","","selten (einige Male pro Jahr)","nein","nein"
"46","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41.5,1.69,20,5,5,10,10,"2,1","9",6,10,"ja",15,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",2500,"nein","2","selten (einige Male pro Jahr)","nein","ja"
"47","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,177,30,5,8,5,5,"2,4","11",12,45,"nein",13,"nein","Gruene","Diplom (abgeschlossenes Studium)",3000,"ja","1,5","gelegentlich (einige Male pro Monat)","nein","nein"
"48","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,181,30,10,9,10,10,"2,2","13",23,50,"keine Ahnung",17,"moechte ich nicht sagen","FDP","Diplom (abgeschlossenes Studium)",3600,"ja","2","nein, nie","nein","nein"
"49","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",49,198,40,6,10,4,10,"2,4","11",13,30,"nein",7,"ja","FDP","Diplom (abgeschlossenes Studium)",3500,"ja","0,75","nein, nie","ja","ja"
"50","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",49,198,17,7,6,8,6,"2,8","4",7,5,"ja",5,"ja","eine andere Partei","Diplom (abgeschlossenes Studium)",3000,"ja","2","gelegentlich (einige Male pro Monat)","nein","ja"
"51","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,175,18,6,8,3,3,"3,2","6",10,10,"keine Ahnung",5,"nein","FDP","Abitur",3400,"ja","6-10","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"52","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,180,47,6,8,10,4,"2,0","12",26,30,"nein",7,"nein","werde nicht waehlen","Abitur",2700,"ja","3","nein, nie","nein","nein"
"53","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37.5,174,15,6,7,7,8,"1,4","15",14,35,"nein",5,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"ja","2","nein, nie","nein","nein"
"54","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,191,76,6,4,8,4,"2,0","8",13,50,"nein",8,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",4000,"nein","1","nein, nie","nein","nein"
"55","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,162,0,7,8,6,4,"3,5","6",25,26,"nein",2,"nein","Die Linke","Abitur",2500,"ja","8","nein, nie","nein","nein"
"56","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,171,20,2,7,6,3,"3,1","11",4,25,"ja",1.5,"ja","CDU/CSU","Abitur",2600,"ja","3","gelegentlich (einige Male pro Monat)","nein","ja"
"57","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,181,50,2,6,9,1,"1,9","13",90,55,"nein",6,"ja","SPD","Diplom (abgeschlossenes Studium)",2500,"ja","4","haeufig (einige Male pro Woche)","nein","nein"
"58","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,174,0,5,9,5,6,"2,4","8",78,50,"keine Ahnung",7,"nein","SPD","Hauptschul- oder Realschulabschluss",3500,"nein","8 ","selten (einige Male pro Jahr)","nein","ja"
"59","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,161,25,4,6,3,1,"2,7","9",5,20,"keine Ahnung",2,"nein","SPD","Abitur",2500,"nein","7","gelegentlich (einige Male pro Monat)","nein","nein"
"60","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,193,30,7,10,6,6,"3,2","3",17,35,"nein",3,"ja","FDP","Diplom (abgeschlossenes Studium)",4000,"ja","8","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"61","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,180,40,7,9,7,7,"3,4","10",3,20,"nein",11,"nein","FDP","Hauptschul- oder Realschulabschluss",4000,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja"
"62","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,181,30,8,7,5,7,"2,4","8",23,30,"nein",7,"nein","darf nicht waehlen","Abitur",3500,"ja","2","gelegentlich (einige Male pro Monat)","nein","nein"
"63","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,170,10,5,10,1,1,"2,3","7",0,23,"nein",1,"nein","SPD","Hauptschul- oder Realschulabschluss",2200,"ja","4,5","nein, nie","nein","nein"
"64","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,178,40,8,8,7,5,"2,9","9",65,70,"nein",5,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss",3000,"ja","2","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"65","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,169,0,5,5,5,1,"2,7","12",30,80,"ja",1,"nein","CDU/CSU","Abitur",3000,"","4","selten (einige Male pro Jahr)","nein","nein"
"66","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,158,20,3,8,6,4,"2,3","",50,55,"keine Ahnung",NA,"nein","","Abitur",2500,"ja","7","selten (einige Male pro Jahr)","nein","ja"
"67","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",39,182,95,7,8,3,8,"3,2","10",12,40,"nein",11,"nein","AfD","Hauptschul- oder Realschulabschluss",NA,"ja","5","nein, nie","nein","nein"
"68","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","moechte ich nicht sagen",45,184,21,8,8,6,7,"2,7","10",16,40,"nein",12,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",4000,"ja","4","nein, nie","nein","nein"
"69","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,185,50,6,10,7,3,"3,7","11",110,50,"nein",7,"nein","AfD","Diplom (abgeschlossenes Studium)",NA,"ja","7","selten (einige Male pro Jahr)","nein","ja"
"70","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,174,30,8,9,8,6,"1,3","14",23,35,"ja",5,"nein","Die Linke","Abitur",4000,"ja","3","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"71","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,180,30,3,9,4,1,"3,5","0",20,35,"keine Ahnung",6,"nein","FDP","Abitur",NA,"ja","8","nein, nie","nein","nein"
"72","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,180,50,7,7,7,5,"3,1","14",40,50,"nein",4,"nein","FDP","Hauptschul- oder Realschulabschluss",4000,"ja","4","haeufig (einige Male pro Woche)","ja","ja"
"73","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,173,15,5,9,5,1,"2,9","10",65,75,"nein",7,"nein","FDP","Diplom (abgeschlossenes Studium)",NA,"ja","7","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"74","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,176,25,6,8,8,4,"2,8","14",65,60,"ja",13,"nein","FDP","Hauptschul- oder Realschulabschluss",3000,"ja","8","haeufig (einige Male pro Woche)","ja","nein"
"75","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,163,10,7,6,8,3,"3,2","11",15,10,"nein",6,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",3500,"ja","3","selten (einige Male pro Jahr)","nein","nein"
"76","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,175,0,3,1,8,9,"2,0","9",38,55,"ja",3,"bin nicht sicher","Gruene","Hauptschul- oder Realschulabschluss",2300,"nein","5","selten (einige Male pro Jahr)","nein","nein"
"77","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,176,80,4,6,7,3,"2,9","10",20,30,"nein",8,"nein","SPD","Abitur",3000,"ja","4","gelegentlich (einige Male pro Monat)","nein","nein"
"78","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",34,163,8,7,9,8,3,"2,4","11",8,30,"keine Ahnung",3,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",3500,"ja","7","gelegentlich (einige Male pro Monat)","nein","ja"
"79","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,158,24,7,8,5,2,"2,4","4",190,40,"nein",2,"ja","SPD","Diplom (abgeschlossenes Studium)",3000,"nein","8","gelegentlich (einige Male pro Monat)","nein","ja"
"80","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,180,62,7,9,1,7,"3,1","1",1,10,"nein",4.5,"bin nicht sicher","FDP","Abitur",4000,"nein","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"81","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,178,0,5,7,8,2,"3,7","9",4,5,"nein",6,"nein","FDP","Abitur",2500,"ja","4","haeufig (einige Male pro Woche)","ja","ja"
"82","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,181,20,8,9,8,6,"1,7","14",35,40,"ja",6,"nein","Die Linke","Dr.",3,"ja","2","gelegentlich (einige Male pro Monat)","nein","nein"
"83","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44.5,181,15,4,9,4,2,"2,8","kann Frage nicht sinnvoll beantworten",40,95,"nein",6,"ja","eine andere Partei","Abitur",3000,"ja","3,5","gelegentlich (einige Male pro Monat)","nein","ja"
"84","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,184,60,6,8,4,5,"2,1","9",30,35,"keine Ahnung",8,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",2500,"ja","3","haeufig (einige Male pro Woche)","nein","ja"
"85","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,178,25,4,7,7,6,"2,2","9",6,25,"keine Ahnung",7,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"ja","3","selten (einige Male pro Jahr)","nein","nein"
"86","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,175,25,7,8,7,1,"3,3","10",3,10,"nein",2,"nein","werde nicht waehlen","Abitur",5000,"ja","6","nein, nie","ja","ja"
"87","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,167,20,4,8,5,3,"2,5","13",4,25,"ja",6,"ja","FDP","Hauptschul- oder Realschulabschluss",4000,"nein","2","gelegentlich (einige Male pro Monat)","nein","ja"
"88","2023/10/12 00:00:00 PM OESZ","","weiblich",40,159,3,1,1,1,6,"2,0","kann Frage nicht sinnvoll beantworten",5,60,"nein",1,"nein","Die Linke","Diplom (abgeschlossenes Studium)",2000,"ja","2","gelegentlich (einige Male pro Monat)","nein","ja"
"89","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,167,0,5,10,6,3,"1,3","13",32,75,"nein",3,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",2300,"ja","2","nein, nie","nein","nein"
"90","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,192,20,7,9,5,4,"2,3","9",20,65,"ja",3.5,"ja","werde nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"ja","5","gelegentlich (einige Male pro Monat)","nein","nein"
